product_id,name,price,category
1,iPhone 15,1201.71,Books
2,MacBook Pro,1374.61,Sports
3,iPad Air,2244.2,Food
4,AirPods Pro,2298.7,Beauty
5,Samsung TV,2526.01,Food
6,Laptop Stand,135.22,Books
7,USB-C Cable,2950.22,Home
8,Monitor,2891.29,Sports
9,Keyboard,2250.75,Home
10,Mouse,2794.19,Beauty
11,T-Shirt,2081.93,Books
12,Jeans,2209.45,Clothing
13,Hoodie,1580.88,Sports
14,Shoes,955.66,Sports
15,Hat,2426.57,Beauty
16,Coffee Maker,1122.74,Sports
17,Blender,1608.23,Books
18,Toaster,387.38,Clothing
19,Microwave,1519.91,Books
20,Desk Lamp,1005.11,Food
21,Running Shoes,2671.43,Beauty
22,Yoga Mat,1577.46,Electronics
23,Dumbbell Set,2586.95,Books
24,Bicycle,621.21,Food
25,Tent,38.3,Beauty
26,Python Book,2828.35,Sports
27,SQL Guide,2334.13,Home
28,Data Science,2997.0,Home
29,Machine Learning,1443.43,Sports
30,Web Dev,2569.03,Food
31,Desk Chair,691.11,Books
32,Filing Cabinet,1169.1,Home
33,Bookshelf,1925.63,Sports
34,Desk Organizer,697.87,Books
35,Whiteboard,2941.22,Beauty
36,Coffee Mug,1328.71,Beauty
37,Water Bottle,1166.95,Books
38,Lunch Box,374.37,Books
39,Plate Set,1077.15,Clothing
40,Utensil Set,2395.75,Sports
41,Jacket,2156.99,Books
42,Pants,2476.23,Beauty
43,Sweater,941.93,Books
44,Socks,40.76,Books
45,Gloves,304.02,Books
46,Headphones,850.04,Electronics
47,Speaker,1016.34,Electronics
48,Microphone,1518.5,Books
49,USB Hub,1666.21,Sports
50,External Drive,2733.12,Home
51,iPhone 15 v2,1468.43,Food
52,MacBook Pro v2,531.32,Electronics
53,iPad Air v2,1083.1,Electronics
54,AirPods Pro v2,1583.99,Clothing
55,Samsung TV v2,338.83,Clothing
56,Laptop Stand v2,1978.89,Food
57,USB-C Cable v2,2967.55,Books
58,Monitor v2,149.96,Beauty
59,Keyboard v2,1732.01,Electronics
60,Mouse v2,588.69,Books
61,T-Shirt v2,2186.94,Books
62,Jeans v2,2264.62,Beauty
63,Hoodie v2,2080.1,Books
64,Shoes v2,865.45,Sports
65,Hat v2,2821.37,Clothing
66,Coffee Maker v2,1728.67,Books
67,Blender v2,485.38,Books
68,Toaster v2,1057.19,Clothing
69,Microwave v2,2495.11,Home
70,Desk Lamp v2,1727.79,Beauty
71,Running Shoes v2,765.97,Books
72,Yoga Mat v2,1946.43,Beauty
73,Dumbbell Set v2,152.54,Beauty
74,Bicycle v2,236.48,Sports
75,Tent v2,2989.44,Sports
76,Python Book v2,1221.83,Home
77,SQL Guide v2,2680.47,Food
78,Data Science v2,2764.0,Clothing
79,Machine Learning v2,1979.87,Beauty
80,Web Dev v2,2702.06,Beauty
81,Desk Chair v2,2856.45,Electronics
82,Filing Cabinet v2,2249.32,Clothing
83,Bookshelf v2,1003.97,Home
84,Desk Organizer v2,2625.21,Beauty
85,Whiteboard v2,1287.07,Home
86,Coffee Mug v2,935.51,Home
87,Water Bottle v2,1486.99,Sports
88,Lunch Box v2,620.13,Sports
89,Plate Set v2,2962.0,Books
90,Utensil Set v2,1947.06,Home
91,Jacket v2,936.19,Clothing
92,Pants v2,986.91,Beauty
93,Sweater v2,681.63,Books
94,Socks v2,1310.93,Food
95,Gloves v2,671.72,Home
96,Headphones v2,1951.72,Books
97,Speaker v2,1036.7,Home
98,Microphone v2,1099.72,Books
99,USB Hub v2,1898.24,Clothing
100,External Drive v2,292.73,Sports
101,iPhone 15 v3,2248.7,Home
102,MacBook Pro v3,1092.39,Beauty
103,iPad Air v3,1479.71,Home
104,AirPods Pro v3,2962.66,Food
105,Samsung TV v3,86.42,Clothing
106,Laptop Stand v3,2378.03,Electronics
107,USB-C Cable v3,1576.07,Beauty
108,Monitor v3,1431.69,Books
109,Keyboard v3,653.16,Clothing
110,Mouse v3,15.08,Clothing
111,T-Shirt v3,1024.44,Food
112,Jeans v3,362.63,Clothing
113,Hoodie v3,645.17,Home
114,Shoes v3,1798.61,Food
