user_id,username,country,signup_date
1,user_0001,India,2023-08-04
2,user_0002,Canada,2022-03-20
3,user_0003,Germany,2022-03-07
4,user_0004,India,2023-11-24
5,user_0005,UK,2023-01-12
6,user_0006,India,2023-01-06
7,user_0007,Brazil,2023-04-09
8,user_0008,Australia,2022-12-17
9,user_0009,Brazil,2023-05-17
10,user_0010,Australia,2022-02-02
11,user_0011,Mexico,2022-10-26
12,user_0012,Mexico,2022-10-06
13,user_0013,Mexico,2023-07-01
14,user_0014,Brazil,2023-05-16
15,user_0015,Australia,2023-03-20
16,user_0016,Australia,2022-12-30
17,user_0017,Japan,2023-10-25
18,user_0018,Mexico,2023-12-29
19,user_0019,UK,2022-07-30
20,user_0020,USA,2022-08-15
21,user_0021,Germany,2023-08-24
22,user_0022,India,2023-04-04
23,user_0023,UK,2022-12-06
24,user_0024,USA,2022-10-04
25,user_0025,Canada,2023-07-25
26,user_0026,Canada,2022-12-21
27,user_0027,USA,2022-07-25
28,user_0028,Japan,2022-06-10
29,user_0029,UK,2023-09-16
30,user_0030,Japan,2023-01-25
31,user_0031,Brazil,2022-08-05
32,user_0032,Australia,2023-03-11
33,user_0033,Australia,2022-01-11
34,user_0034,Germany,2022-04-02
35,user_0035,USA,2023-09-11
36,user_0036,UK,2022-07-02
37,user_0037,UK,2022-01-20
38,user_0038,India,2022-12-24
39,user_0039,India,2023-07-10
40,user_0040,UK,2023-02-23
41,user_0041,France,2022-12-29
42,user_0042,UK,2023-03-31
43,user_0043,Brazil,2023-04-26
44,user_0044,USA,2022-06-29
45,user_0045,France,2023-01-25
46,user_0046,France,2022-08-29
47,user_0047,Mexico,2022-03-19
48,user_0048,Germany,2022-09-17
49,user_0049,India,2023-10-18
50,user_0050,India,2022-10-29
51,user_0051,India,2022-06-20
52,user_0052,Australia,2022-09-12
53,user_0053,India,2022-07-05
54,user_0054,Canada,2022-07-06
55,user_0055,USA,2023-10-27
56,user_0056,India,2023-11-24
57,user_0057,UK,2023-03-14
58,user_0058,Australia,2023-03-10
59,user_0059,Japan,2022-09-28
60,user_0060,Mexico,2023-12-20
61,user_0061,Japan,2023-11-15
62,user_0062,UK,2023-03-14
63,user_0063,France,2022-08-08
64,user_0064,UK,2022-02-04
65,user_0065,France,2022-12-09
66,user_0066,UK,2023-03-14
67,user_0067,Canada,2022-04-09
68,user_0068,UK,2023-02-22
69,user_0069,Australia,2023-07-12
70,user_0070,India,2023-06-17
71,user_0071,Brazil,2023-03-09
72,user_0072,Japan,2022-09-27
73,user_0073,France,2023-08-28
74,user_0074,Germany,2023-12-25
75,user_0075,UK,2023-11-04
76,user_0076,UK,2022-04-08
77,user_0077,Australia,2023-06-15
78,user_0078,Germany,2023-05-07
79,user_0079,Germany,2022-12-02
80,user_0080,Mexico,2023-04-11
81,user_0081,Australia,2023-11-09
82,user_0082,India,2023-01-04
83,user_0083,Germany,2022-09-03
84,user_0084,Canada,2023-08-03
85,user_0085,UK,2022-05-20
86,user_0086,France,2023-06-16
87,user_0087,Mexico,2022-04-08
88,user_0088,India,2022-08-16
89,user_0089,Australia,2022-04-15
90,user_0090,Brazil,2022-01-30
91,user_0091,UK,2023-12-05
92,user_0092,Australia,2023-10-28
93,user_0093,Mexico,2022-09-15
94,user_0094,Brazil,2023-03-18
95,user_0095,Canada,2022-04-17
96,user_0096,USA,2023-03-01
97,user_0097,Japan,2023-01-18
98,user_0098,Germany,2023-12-24
99,user_0099,Japan,2023-07-17
100,user_0100,Canada,2023-10-28
101,user_0101,Brazil,2023-03-15
102,user_0102,Mexico,2022-11-09
103,user_0103,UK,2023-04-17
104,user_0104,Australia,2023-06-22
105,user_0105,Australia,2022-09-16
106,user_0106,Australia,2022-01-03
107,user_0107,India,2022-11-05
108,user_0108,India,2022-08-23
109,user_0109,Mexico,2023-03-12
110,user_0110,India,2022-12-19
111,user_0111,Japan,2023-05-18
112,user_0112,Canada,2023-11-25
113,user_0113,Canada,2023-03-25
114,user_0114,Brazil,2022-08-19
115,user_0115,Mexico,2023-12-06
116,user_0116,France,2023-09-12
117,user_0117,UK,2022-05-23
118,user_0118,Mexico,2023-08-17
119,user_0119,Canada,2022-04-16
120,user_0120,Mexico,2023-04-17
121,user_0121,Germany,2022-01-23
122,user_0122,Germany,2023-03-12
123,user_0123,USA,2023-01-17
124,user_0124,USA,2022-06-14
125,user_0125,Mexico,2022-04-28
126,user_0126,Japan,2022-03-10
127,user_0127,Japan,2022-02-27
128,user_0128,USA,2023-06-12
129,user_0129,France,2023-04-27
130,user_0130,USA,2022-04-30
131,user_0131,France,2023-11-02
132,user_0132,India,2022-09-09
133,user_0133,Canada,2023-08-18
134,user_0134,Germany,2022-01-16
135,user_0135,Brazil,2023-03-03
136,user_0136,Canada,2023-08-07
137,user_0137,UK,2022-12-21
138,user_0138,Brazil,2022-10-04
139,user_0139,USA,2023-07-30
140,user_0140,France,2022-12-15
141,user_0141,USA,2022-04-19
142,user_0142,USA,2022-05-16
143,user_0143,Japan,2022-06-03
144,user_0144,Mexico,2023-01-23
145,user_0145,Brazil,2023-10-26
146,user_0146,India,2023-03-26
147,user_0147,Canada,2022-10-06
148,user_0148,Mexico,2022-02-03
149,user_0149,Japan,2022-06-02
150,user_0150,UK,2023-09-15
151,user_0151,Australia,2022-09-24
152,user_0152,Canada,2022-11-23
153,user_0153,France,2022-04-26
154,user_0154,UK,2023-07-14
155,user_0155,USA,2023-11-22
156,user_0156,Japan,2022-05-18
157,user_0157,Brazil,2022-12-09
158,user_0158,India,2023-12-30
159,user_0159,Canada,2022-10-11
160,user_0160,Brazil,2022-09-26
161,user_0161,Brazil,2023-06-23
162,user_0162,India,2022-03-29
163,user_0163,France,2023-09-16
164,user_0164,UK,2022-05-09
165,user_0165,Australia,2022-04-19
166,user_0166,Australia,2023-05-27
167,user_0167,Mexico,2022-11-17
168,user_0168,Germany,2022-07-16
169,user_0169,UK,2023-04-19
170,user_0170,France,2022-05-10
171,user_0171,Brazil,2023-08-05
172,user_0172,Germany,2023-12-14
173,user_0173,Japan,2023-07-21
